SARS-CoV2 E,A0A0U1RRE5,NBDY,0.3223596,0.5,1.67,1|1|3,3|0|2|3|2|0|0|3|1|2|1,1.08,0.04
SARS-CoV2 E,A1KXE4,FAM168B,0.012301656,0.69,0.33,0|1|0,1|0|0|0|0|1|0|0|1|2|1,0.61,0
SARS-CoV2 E,A6NDG6,PGP,0.318944611,0.62,3.33,1|3|6,2|3|6|4|5|4|4|5|6|3|3,0.81,0
SARS-CoV2 E,A6NHQ2,FBLL1,0.046175657,0.69,0.33,0|0|1,0|0|0|0|0|0|0|0|1|0|0,3.33,0
SARS-CoV2 E,E9PRG8,C11orf98,0.34460932,0.44,1.33,1|1|2,1|1|0|1|2|1|1|0|0|0|2,1.63,0.1
SARS-CoV2 E,O00139,KIF2A,0.032190109,0.32,0.67,0|0|2,0|0|0|0|0|0|0|1|1|0|0,3.67,0.3
SARS-CoV2 E,O00165,HAX1,0.010198889,0.23,0.67,0|0|2,0|0|0|0|0|0|0|0|0|0|0,6.67,0.32
SARS-CoV2 E,O00170,AIP,0.285577991,0.69,2,2|1|3,6|4|6|5|2|1|3|4|5|4|4,0.5,0
SARS-CoV2 E,O00178,GTPBP1,0.240945996,0.39,1,0|1|2,1|1|1|1|1|0|0|0|0|0|0,2.2,0.19
SARS-CoV2 E,O00203,AP3B1,0.963550095,0,4.67,2|6|6,0|0|0|0|0|0|0|0|0|0|0,46.67,0.99
SARS-CoV2 E,O00244,ATOX1,0.32284905,0.63,2.67,1|3|4,4|3|4|8|3|4|4|5|3|1|0,0.75,0
SARS-CoV2 E,O00422,SAP18,0.061973772,0.69,0.33,0|0|1,0|1|1|0|0|0|0|0|1|0|0,1.22,0
SARS-CoV2 E,O00443,PIK3C2A,0.275017263,0.69,0.67,0|1|1,0|0|0|0|0|0|0|0|1|0|0,6.67,0
SARS-CoV2 E,O00458,IFRD1,0.268574808,0.69,0.67,0|1|1,0|0|0|1|0|0|0|0|0|0|0,6.67,0
SARS-CoV2 E,O00479,HMGN4,0.161693277,0.47,1.67,0|1|4,1|2|1|2|2|2|3|1|0|2|3,0.96,0.07
SARS-CoV2 E,O00483,NDUFA4,0.312457717,0.69,1,1|1|1,0|0|1|0|0|0|0|1|1|0|1,2.75,0
SARS-CoV2 E,O00488,ZNF593,0.047579269,0.36,0.67,0|0|2,0|0|0|1|2|0|0|1|0|0|0,1.83,0.23
SARS-CoV2 E,O00541,PES1,0.235678718,0.37,3.67,0|4|7,1|2|1|6|5|4|0|0|2|1|2,1.68,0.23
SARS-CoV2 E,O00567,NOP56,0.204319123,0.17,1.67,0|3|2,0|3|1|1|0|0|0|1|2|0|0,2.29,0.34
SARS-CoV2 E,O00571,DDX3X,0.327034718,0.6,3,2|4|3,5|4|1|1|3|2|2|5|4|3|3,1,0
